TransactionID,CustomerCode,Accessories_name,Accessories_subname,Unitprice,Unit,SalesValue
P122331,0213DQ000000199,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122333,0213DQ000000449,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122334,0213DR000000035,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122337,0213DR000000229,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122340,0213DR000000272,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122342,0213DR000000297,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122347,0213DR000000624,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122349,0210AA000007630,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122350,0210AC000001762,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122351,0210AC000002940,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122352,0210AI000000806,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122353,0210AI000001977,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122355,0210AM000000421,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122356,0210AM000000868,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122357,0210AN000001030,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122363,0211A$000001841,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122368,0211AA000002113,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122373,0211AL000000720,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122379,0213AA000002870,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122381,0213AA000003188,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122382,0213AA000003801,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122384,0213AA000003963,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122385,0213AA000003979,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122386,0213AA000004065,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122388,0213AA000004307,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122391,0213AA000004488,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122392,0213AB000000067,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122397,0213AB000000296,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122401,0213AB000000641,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122409,0113DO000000068,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122411,0113DP000000117,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122413,0113DP000000252,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122416,0113DQ000000015,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122417,0113DQ000000087,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122418,0113DQ000000126,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122420,0113DQ000000183,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122422,0113DQ000000247,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122423,0113DQ000000252,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122432,0113DR000000296,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122436,0113DS000000110,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122440,0213AQ000000036,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122444,0213AQ000000192,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122445,0213AQ000000306,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122446,0213AQ000000364,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122453,0213AR000000314,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122458,0213AS000000325,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122462,0213AS000000478,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122468,0213BM000000082,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122469,0213BM000000137,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122473,0213BM000000489,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122474,0213BP000000005,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122477,0213BP000000554,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122478,0213BP000000573,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122479,0213BU000000122,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122480,0213BU000000189,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122482,0213BX000000151,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122485,0213BX000000234,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122486,0213BX000000390,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122491,0213BY000000322,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122493,0213BY000000411,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122497,0213DV000000345,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122499,0213DV000000364,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122500,0213DV000000369,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122508,0213DV000000773,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122520,0213DW000000510,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122525,0213DX000000472,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122527,0213DY000000142,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122530,0313A9000000378,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122531,0313A9000000380,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122536,0313A9000000634,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122537,0313AA000000146,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122539,0313AA000000980,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122542,0313AA000001132,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122543,0313AA000001225,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122544,0313AA000001358,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122545,0313AA000001384,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122546,0313AA000001450,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122547,0313AA000001451,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122553,0313AA000001767,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122557,0313AA000001873,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122559,0213BD000000026,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122560,0213BD000000028,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122562,0213BD000000170,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122563,0213BD000000184,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122566,0213BD000000356,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122575,0213BG000000214,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122576,0213BG000000342,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122579,0213BG000000431,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122580,0213BG000000486,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122582,0213BG000000681,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122583,0213BG000000723,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122584,0213BH000000049,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122585,0213BH000000152,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122592,0213DE000000306,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122593,0213DE000000332,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122598,0213DE000000498,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122601,0213DF000000116,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122602,0213DF000000575,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122620,0213DR000000248,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122624,0213DR000000699,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122625,0213DR000000777,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122628,0213DS000000068,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122630,0213DS000000297,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122631,0213DS000000421,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122634,0213DT000000387,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122636,0213DT000000446,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122637,0213DT000000576,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122638,0213DT000000640,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122646,0213DV000000331,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122647,0213DV000000405,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122659,0213DX000000369,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122661,0213DY000000030,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122663,0213DY000000369,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122667,0213DY000000534,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122672,0213DY000000986,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122675,0213DZ000000089,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122676,0213DZ000000123,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122679,0213DZ000000193,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122682,0213DI000000043,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122685,0213DI000000121,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122688,0213DI000000376,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122690,0213DJ000000173,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122693,0213DK000000015,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122696,0213DL000000012,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122698,0213DL000000016,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122700,0213DL000000085,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122702,0213DM000000113,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122704,0213DM000000228,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122706,0213DN000000020,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122708,0213DN000000072,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122710,0213DN000000157,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122713,0213BI000000078,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122714,0213BM000000106,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122715,0213BM000000223,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122719,0213BP000000170,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122729,0213BX000000072,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122734,0213BY000000223,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122736,0213BZ000000085,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122737,0213BZ000000111,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122742,0113HD000000196,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122744,0113HD000000272,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122752,0208GH000001896,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122760,0209QH000001343,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122761,0210A$000002517,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122764,0210A0000001839,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122768,0210AA000002792,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122769,0210AA000007436,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122771,0213DR000000664,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122782,0213DT000000149,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122786,0213DV000000072,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122788,0213DV000000197,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122790,0213DV000000270,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122792,0213DV000000292,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122793,0213DV000000304,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122801,0213DW000000173,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122806,0213CZ000000126,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122807,0213CZ000000219,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122810,0213DB000000031,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122812,0213DB000000151,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122817,0213DB000000253,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122818,0213DB000000348,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122819,0213DB000000374,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122822,0213DB000000520,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122823,0213DB000000572,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122824,0213DB000000594,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122827,0213DB000000813,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122838,0113DV000000079,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122839,0113DV000000092,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122842,0113DV000000232,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122843,0113DV000000235,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122844,0113DV000000265,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122846,0113DV000000509,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122848,0113DV000000634,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122849,0113DV000000638,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122862,0213DY000000911,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122863,0213DY000000926,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122864,0213DY000000945,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122868,0213DZ000000276,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122871,0213EB000000038,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122872,0213EB000000052,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122873,0213EB000000084,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122874,0213EB000000212,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122877,0213EC000000199,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122880,0213EC000000557,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122881,0213EJ000000016,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122882,0213EK000000006,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122884,0213EL000000018,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122885,0213EL000000031,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122886,0213EL000000124,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122887,0213HD000000035,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122888,0213HD000000127,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122889,0213HD000000194,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122890,0213HD000000211,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122891,0313AA000002085,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122893,0313AA000002387,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122899,0313AA000002690,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122901,0313AA000003270,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122903,0313AA000003638,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122908,0313AA000004010,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122910,0313AA000004108,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122915,0313AA000004368,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122916,0313AA000004452,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122918,0313AB000000844,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122928,0213AS000000901,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122938,0213AT000000308,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122940,0213AT000000485,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122947,0213AT000000678,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122948,0213AT000000735,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122950,0213AU000000131,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122952,0213AU000000146,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122955,0213AV000000041,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122958,0213AV000000151,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122959,0213AV000000155,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122960,0213AV000000162,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122965,0213AW000000121,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122966,0213AW000000136,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122968,0213AW000000260,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122969,0213AW000000268,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122970,0213AW000000323,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122971,0213AW000000386,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122972,0213AW000000388,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P122974,0213AW000000537,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P122975,0213AW000000598,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P122979,0213AY000000200,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P122982,0213AY000000486,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P122992,0212AG000001117,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P122993,0212AI000000463,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P122996,0212AK000001552,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P122999,0212BD000000522,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P123001,0212CL000000853,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P123002,0212CW000000109,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P123005,0212DE000000215,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P123006,0213A$000000046,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P123008,0213A$000000080,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P123014,0213BD000000011,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P123016,0213BD000000052,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P123022,0213BD000000235,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P123023,0213BD000000392,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P123024,0213BD000000408,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P123027,0213BD000000469,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P123028,0213BD000000490,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P123033,0213BG000000121,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P123036,0213BG000000330,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P123038,0213BG000000488,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P123039,0213BG000000585,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P123048,0213A$000000531,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P123050,0213A$000000718,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P123052,0213A$000000934,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P123064,0213A0000000220,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P123065,0213A0000000224,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P123066,0213A0000000246,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P123067,0213A0000000255,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P123068,0213A0000000271,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P123070,0213A0000000404,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P123072,0213A0000000602,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P123074,0213AC000000270,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P123075,0213AC000000295,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P123078,0213AG000000093,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P123080,0213AG000000144,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P123089,0213AI000000250,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P123094,0213AJ000000026,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P123097,0213AJ000000127,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P123102,0213AJ000000465,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P123106,0113DX000000088,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P123109,0113DX000000282,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P123110,0113DX000000391,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P123111,0113DY000000023,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P123112,0113DY000000057,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P123116,0113DY000000188,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P123118,0113DY000000377,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P123120,0113DY000000626,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P123123,0113DY000000940,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P123124,0113DY000000994,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P123126,0113DY000001030,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P123128,0113DY000001092,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P123130,0113DY000001114,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P123131,0113DZ000000031,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P123132,0113DZ000000130,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P123133,0113DZ000000177,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P123138,0213BM000000037,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P123139,0213BM000000115,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P123141,0213BM000000276,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P123143,0213BM000000314,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P123144,0213BM000000466,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P123145,0213BM000000508,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P123147,0213BP000000092,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P123148,0213BP000000202,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P123149,0213BP000000254,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P123150,0213BP000000259,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
P123151,0213BP000000371,Ốp lưng da,Ốp lưng/ Cường lực,120000,1,120000
P123160,0213BX000000133,Ốp lưng cao cấp,Ốp lưng/ Cường lực,200000,1,200000
P123162,0213BX000000337,Ốp lưng chính hãng,Ốp lưng/ Cường lực,490000,1,490000
P123165,0213CA000000006,Dán màn hình cao cấp,Ốp lưng/ Cường lực,99000,1,99000
P123166,0213CA000000044,Củ sạc nhanh,Củ sạc/ Cáp sạc,450000,1,450000
P123167,0213CA000000046,Củ sạc 3in1,Củ sạc/ Cáp sạc,499000,1,499000
P123168,0213CH000000019,Dây sạc nhanh,Củ sạc/ Cáp sạc,189000,1,189000
P123169,0213CH000000038,Bảo hiểm rơi vỡ,Bảo hiểm,789000,1,789000
